Close_3,Close_2,Close_1,Volume_3,Volume_2,Volume_1,Action
50.96500015258789,51.13249969482422,51.869998931884766,96783200,77758000,93292000,0
51.13249969482422,51.869998931884766,51.790000915527344,77758000,93292000,70162400,-1
51.869998931884766,51.790000915527344,51.31999969482422,93292000,70162400,74172800,-1
51.790000915527344,51.31999969482422,51.07500076293945,70162400,74172800,74596400,-1
51.31999969482422,51.07500076293945,51.15250015258789,74172800,74596400,88818800,0
51.07500076293945,51.15250015258789,50.16749954223633,74596400,88818800,186139600,-1
51.15250015258789,50.16749954223633,52.630001068115234,88818800,186139600,259309200,2
50.16749954223633,52.630001068115234,52.28749847412109,186139600,259309200,127985200,-1
52.630001068115234,52.28749847412109,52.9375,259309200,127985200,83569600,0
52.28749847412109,52.9375,52.119998931884766,127985200,83569600,129772400,-1
