Date,AAPL,TSLA,MSFT,META,GOOG
2018-03-29,41.94499969482422,17.742000579833984,91.2699966430664,159.7899932861328,51.589500427246094
2018-04-02,41.66999816894531,16.832000732421875,88.5199966430664,155.38999938964844,50.32350158691406
2018-04-03,42.09749984741211,17.8353328704834,89.70999908447266,156.11000061035156,50.670501708984375
2018-04-04,42.90250015258789,19.12933349609375,92.33000183105469,155.10000610351562,51.25699996948242
2018-04-05,43.20000076293945,20.381332397460938,92.37999725341797,159.33999633789062,51.390499114990234
2018-04-06,42.095001220703125,19.953332901000977,90.2300033569336,157.1999969482422,50.35200119018555
2018-04-09,42.51250076293945,19.310667037963867,90.7699966430664,157.92999267578125,50.772499084472656
2018-04-10,43.3125,20.31333351135254,92.87999725341797,165.0399932861328,51.582000732421875
2018-04-11,43.11000061035156,20.062000274658203,91.86000061035156,166.32000732421875,50.99850082397461
2018-04-12,43.53499984741211,19.60533332824707,93.58000183105469,163.8699951171875,51.6254997253418
2018-04-13,43.682498931884766,20.022666931152344,93.08000183105469,164.52000427246094,51.4635009765625
2018-04-16,43.95500183105469,19.413999557495117,94.16999816894531,164.8300018310547,51.89899826049805
2018-04-17,44.560001373291016,19.179332733154297,96.06999969482422,168.66000366210938,53.70800018310547
2018-04-18,44.459999084472656,19.55666732788086,96.44000244140625,166.36000061035156,53.604000091552734
2018-04-19,43.20000076293945,20.005332946777344,96.11000061035156,168.10000610351562,54.3849983215332
2018-04-20,41.43000030517578,19.349332809448242,95.0,166.27999877929688,53.64799880981445
2018-04-23,41.310001373291016,18.891332626342773,95.3499984741211,165.83999633789062,53.372501373291016
2018-04-24,40.73500061035156,18.8973331451416,93.12000274658203,159.69000244140625,50.999000549316406
2018-04-25,40.912498474121094,18.71266746520996,92.30999755859375,159.69000244140625,51.058998107910156
2018-04-26,41.05500030517578,19.031999588012695,94.26000213623047,174.16000366210938,52.00199890136719
2018-04-27,40.58000183105469,19.60533332824707,95.81999969482422,173.58999633789062,51.502498626708984
2018-04-30,41.314998626708984,19.593332290649414,93.5199966430664,172.0,50.86650085449219
2018-05-01,42.275001525878906,19.994667053222656,95.0,173.86000061035156,51.865501403808594
2018-05-02,44.14250183105469,20.07666778564453,93.51000213623047,176.07000732421875,51.21900177001953
2018-05-03,44.22249984741211,18.963333129882812,94.06999969482422,174.02000427246094,51.18600082397461
2018-05-04,45.95750045776367,19.606000900268555,95.16000366210938,176.61000061035156,52.410499572753906
2018-05-07,46.290000915527344,20.184667587280273,96.22000122070312,177.97000122070312,52.739498138427734
2018-05-08,46.51250076293945,20.131332397460938,95.80999755859375,178.9199981689453,52.695499420166016
2018-05-09,46.84000015258789,20.456666946411133,96.94000244140625,182.66000366210938,54.13800048828125
2018-05-10,47.5099983215332,20.334667205810547,97.91000366210938,185.52999877929688,54.878501892089844
2018-05-11,47.147499084472656,20.070667266845703,97.69999694824219,186.99000549316406,54.91299819946289
2018-05-14,47.037498474121094,19.46466636657715,98.02999877929688,186.63999938964844,55.0099983215332
2018-05-15,46.61000061035156,18.94533348083496,97.31999969482422,184.32000732421875,53.96149826049805
2018-05-16,47.04499816894531,19.09866714477539,97.1500015258789,183.1999969482422,54.0885009765625
2018-05-17,46.747501373291016,18.96933364868164,96.18000030517578,183.75999450683594,53.929500579833984
2018-05-18,46.57749938964844,18.454666137695312,96.36000061035156,182.67999267578125,53.31800079345703
2018-05-21,46.907501220703125,18.965999603271484,97.5999984741211,184.49000549316406,53.979000091552734
2018-05-22,46.790000915527344,18.333999633789062,97.5,183.8000030517578,53.48649978637695
2018-05-23,47.09000015258789,18.60466766357422,98.66000366210938,186.89999389648438,53.984500885009766
2018-05-24,47.037498474121094,18.523332595825195,98.30999755859375,185.92999267578125,53.96200180053711
2018-05-25,47.14500045776367,18.59000015258789,98.36000061035156,184.9199981689453,53.78300094604492
2018-05-29,46.974998474121094,18.917333602905273,98.01000213623047,185.74000549316406,53.01599884033203
2018-05-30,46.875,19.447999954223633,98.94999694824219,187.6699981689453,53.38999938964844
2018-05-31,46.717498779296875,18.98200035095215,98.83999633789062,191.77999877929688,54.2495002746582
2018-06-01,47.560001373291016,19.454666137695312,100.79000091552734,193.99000549316406,55.974998474121094
2018-06-04,47.95750045776367,19.78266716003418,101.66999816894531,193.27999877929688,56.964500427246094
2018-06-05,48.32749938964844,19.408666610717773,102.19000244140625,192.94000244140625,56.983001708984375
2018-06-06,48.494998931884766,21.299999237060547,102.48999786376953,191.33999633789062,56.84400177001953
2018-06-07,48.3650016784668,21.07266616821289,100.87999725341797,188.17999267578125,56.19300079345703
2018-06-08,47.92499923706055,21.17733383178711,101.62999725341797,189.10000610351562,56.04349899291992
2018-06-11,47.807498931884766,22.139999389648438,101.05000305175781,191.5399932861328,56.4995002746582
2018-06-12,48.06999969482422,22.851333618164062,101.30999755859375,192.39999389648438,56.965999603271484
2018-06-13,47.67499923706055,22.985332489013672,100.8499984741211,192.41000366210938,56.739498138427734
2018-06-14,47.70000076293945,23.847999572753906,101.41999816894531,196.80999755859375,57.60599899291992
2018-06-15,47.209999084472656,23.878000259399414,100.12999725341797,195.85000610351562,57.612998962402344
2018-06-18,47.185001373291016,24.722000122070312,100.86000061035156,198.30999755859375,58.67300033569336
2018-06-19,46.42250061035156,23.503332138061523,100.86000061035156,197.49000549316406,58.40299987792969
2018-06-20,46.625,24.148000717163086,101.87000274658203,202.0,58.492000579833984
2018-06-21,46.3650016784668,23.167333602905273,101.13999938964844,201.5,57.882999420166016
2018-06-22,46.22999954223633,22.242000579833984,100.41000366210938,201.74000549316406,57.77399826049805
2018-06-25,45.54249954223633,22.200666427612305,98.38999938964844,196.35000610351562,56.240501403808594
2018-06-26,46.10749816894531,22.799999237060547,99.08000183105469,199.0,55.92300033569336
2018-06-27,46.040000915527344,22.96666717529297,97.54000091552734,195.83999633789062,55.19900131225586
2018-06-28,46.375,23.32866668701172,98.62999725341797,196.22999572753906,55.71099853515625
2018-06-29,46.27750015258789,22.863332748413086,98.61000061035156,194.32000732421875,55.782501220703125
2018-07-02,46.79499816894531,22.33799934387207,100.01000213623047,197.36000061035156,56.37300109863281
2018-07-03,45.97999954223633,20.724000930786133,99.05000305175781,192.72999572753906,55.144500732421875
2018-07-05,46.349998474121094,20.610666275024414,99.76000213623047,198.4499969482422,56.2135009765625
2018-07-06,46.99250030517578,20.593332290649414,101.16000366210938,203.22999572753906,57.00849914550781
2018-07-09,47.64500045776367,21.233999252319336,101.8499984741211,204.74000549316406,57.70249938964844
2018-07-10,47.587501525878906,21.49799919128418,102.12000274658203,203.5399932861328,57.641998291015625
2018-07-11,46.970001220703125,21.263999938964844,101.9800033569336,202.5399932861328,57.69499969482422
2018-07-12,47.75749969482422,21.11400032043457,104.19000244140625,206.9199981689453,59.17399978637695
2018-07-13,47.83250045776367,21.257999420166016,105.43000030517578,207.32000732421875,59.441001892089844
2018-07-16,47.727500915527344,20.67333221435547,104.91000366210938,207.22999572753906,59.19300079345703
2018-07-17,47.86249923706055,21.512666702270508,105.94999694824219,209.99000549316406,59.939998626708984
2018-07-18,47.599998474121094,21.59000015258789,105.12000274658203,209.36000061035156,59.79399871826172
2018-07-19,47.970001220703125,21.34866714477539,104.4000015258789,208.08999633789062,59.347999572753906
2018-07-20,47.86000061035156,20.905332565307617,106.2699966430664,209.94000244140625,59.24549865722656
2018-07-23,47.90250015258789,20.213333129882812,107.97000122070312,210.91000366210938,60.275001525878906
2018-07-24,48.25,19.82866668701172,107.66000366210938,214.6699981689453,62.40399932861328
2018-07-25,48.70500183105469,20.582666397094727,110.83000183105469,217.5,63.185001373291016
2018-07-26,48.5525016784668,20.44333267211914,109.62000274658203,176.25999450683594,63.416500091552734
2018-07-27,47.744998931884766,19.812000274658203,107.68000030517578,174.88999938964844,61.92499923706055
2018-07-30,47.477500915527344,19.344667434692383,105.37000274658203,171.05999755859375,60.98699951171875
2018-07-31,47.5724983215332,19.875999450683594,106.08000183105469,172.5800018310547,60.862998962402344
2018-08-01,50.375,20.055999755859375,106.27999877929688,171.64999389648438,61.0004997253418
2018-08-02,51.84749984741211,23.30266761779785,107.56999969482422,176.3699951171875,61.307498931884766
2018-08-03,51.997501373291016,23.211332321166992,108.04000091552734,177.77999877929688,61.18550109863281
2018-08-06,52.26750183105469,22.799333572387695,108.12999725341797,185.69000244140625,61.23849868774414
2018-08-07,51.77750015258789,25.30466651916504,108.87999725341797,183.80999755859375,62.111000061035156
2018-08-08,51.8125,24.689332962036133,109.48999786376953,185.17999267578125,62.28049850463867
2018-08-09,52.220001220703125,23.496667861938477,109.66999816894531,183.08999633789062,62.45500183105469
2018-08-10,51.88249969482422,23.69933319091797,109.0,180.25999450683594,61.88050079345703
2018-08-13,52.217498779296875,23.76066780090332,108.20999908447266,180.0500030517578,61.7504997253418
2018-08-14,52.4375,23.176000595092773,109.55999755859375,181.11000061035156,62.10499954223633
2018-08-15,52.560001373291016,22.57933235168457,107.66000366210938,179.52999877929688,60.71900177001953
2018-08-16,53.33000183105469,22.363332748413086,107.63999938964844,174.6999969482422,60.324501037597656
2018-08-17,54.39500045776367,20.366666793823242,107.58000183105469,173.8000030517578,60.04800033569336
2018-08-20,53.8650016784668,20.562667846679688,106.87000274658203,172.5,60.38850021362305
2018-08-21,53.7599983215332,21.459999084472656,105.9800033569336,172.6199951171875,60.08100128173828
2018-08-22,53.76250076293945,21.44266700744629,107.05999755859375,173.63999938964844,60.36650085449219
2018-08-23,53.872501373291016,21.34000015258789,107.55999755859375,172.89999389648438,60.26900100708008
2018-08-24,54.040000915527344,21.521333694458008,108.4000015258789,174.64999389648438,61.032501220703125
2018-08-27,54.48500061035156,21.284666061401367,109.5999984741211,177.4600067138672,62.090999603271484
2018-08-28,54.92499923706055,20.790666580200195,110.26000213623047,176.25999450683594,61.557498931884766
2018-08-29,55.744998931884766,20.333999633789062,112.0199966430664,175.89999389648438,62.46500015258789
2018-08-30,56.25749969482422,20.209999084472656,111.94999694824219,177.63999938964844,61.95600128173828
2018-08-31,56.907501220703125,20.110666275024414,112.33000183105469,175.72999572753906,60.90950012207031
